land_fac;zeitabstand_1956;zeitabstand_2013;verfahrenproJahr_1956;verfahrenproJahr_2013
Baden-Württemberg;77;33;14,4;33,4
Bayern;17;18;126,5;117,6
Berlin;4;5;3,3;2,4
Brandenburg;40;44;10,8;9,8
Bremen;5;3;0,4;0,6
Hamburg;1;1;7,1;8,4
Hessen;25;26;17,8;17,4
Mecklenburg-Vorpommern;140;187;5,6;4,2
Niedersachsen;70;64;15;16,4
Nordrhein-Westfalen;13;15;32,7;28,8
Rheinland-Pfalz;227;140;10,3;16,6
Saarland;70;143;0,8;0,4
Sachsen;33;50;13,4;9
Sachsen-Anhalt;22;55;10,4;4,2
Schleswig-Holstein;65;59;17,5;19,2
Thüringen;112;70;7,8;12,6
